	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
angrybirdziall					http://pbs.twimg.com/profile_images/517012557732012032/uJkA_KII_normal.jpeg					"angrybirdziall

"																			158	577	14150	1865	3600	Be nice to nice			Stockholm	41545.80508	Open Twitter Page for This Person	https://twitter.com/angrybirdziall	No					
recovereys					http://pbs.twimg.com/profile_images/523482742307446785/ktTsGTbc_normal.jpeg					"recovereys

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			227	195	166	95	-7200		born to die		Mid-Atlantic	41929.76186	Open Twitter Page for This Person	https://twitter.com/recovereys	Yes					
mrs_od					http://pbs.twimg.com/profile_images/510221697551958016/thidrfU8_normal.jpeg					"mrs_od

Had a lovely meal at @madisonlondon1
despite being furthest from the
view :) lovely cocktails, tuna
steak and apple and blackberry
crumble"																			482	335	11825	78	0	Welsh; Londoner; part timer; cocktail drinker.	London	http://t.co/uTJ6eL2yAq	London	39852.91387	Open Twitter Page for This Person	https://twitter.com/mrs_od	Yes					
madisonlondon1					http://pbs.twimg.com/profile_images/525595869211402240/DLsCWvK6_normal.jpeg					"madisonlondon1

"																			286	1355	1118	58	0	"A rooftop restaurant and bar in the heart of London. Buzzing atmosphere, cracking cocktails and tapas to share among the vibes of our in house DJ's!"	One New Change London 	http://t.co/83bNpWQtDn	London	40770.65433	Open Twitter Page for This Person	https://twitter.com/madisonlondon1	No					
raissa_zouis					http://pbs.twimg.com/profile_images/512029723551993856/thhN5gql_normal.png					"raissa_zouis

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			1086	654	8678	4492	-7200	"Fã de gayband, Tricolinda com muito orgulho, Taylover, Maria Bethânia minha divaaaaa. Seguindo a direção que só me mata. 'Antissocial' haha palavras de mamãe ;)"			Brasilia	41743.7411	Open Twitter Page for This Person	https://twitter.com/raissa_zouis	Yes					
tomgalle					http://pbs.twimg.com/profile_images/521322607547666432/NokV2PJW_normal.jpeg					"tomgalle

@ENAML I also like to draw responses
sometimes :) https://t.co/7oLAW5yXPZ"																			700	1283	3600	3848	3600	Ideas for the internet. I make work for http://t.co/6Uf2pK1dNU & http://t.co/mYWGNhMrcJ	Apple Store NYC	http://t.co/jF6q3I1lz8	Brussels	39966.6942	Open Twitter Page for This Person	https://twitter.com/tomgalle	Yes					
enaml					http://pbs.twimg.com/profile_images/523542981195071488/aWNbV3Ki_normal.jpeg					"enaml

"																			856	631	12506	14460	-21600	brotaku? @404VOIDMAIN web dude? i hate myself? ???? ?	MN - ?? - NYC	http://t.co/IrgHiHpZD6	Mountain Time (US & Canada)	39973.29881	Open Twitter Page for This Person	https://twitter.com/enaml	No					
applezein					http://pbs.twimg.com/profile_images/418564314174603264/-zCyjh2N_normal.jpeg					"applezein

Torna su AppStore e si aggiorna
iAppZein FINALMENTE :D #iappzein
#apple #applezein #appstore #app
#news http://t.co/bDSdzcPU2F"																			27	3059	30466	332	3600	Il Blog Apple per gli utenti Apple		http://t.co/i5IMVUFyjq	Rome	40101.81179	Open Twitter Page for This Person	https://twitter.com/applezein	Yes					
king_reynoldss					http://pbs.twimg.com/profile_images/527253606266052611/PhS4hL0A_normal.jpeg					"king_reynoldss

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			1364	894	6367	4377	-14400	CARTER CAME THRU 1/12 10.12.14 in love with this kid named carter reynolds kidrauhl #belieber ?? met carter on 8.4.14.			Eastern Time (US & Canada)	41865.85021	Open Twitter Page for This Person	https://twitter.com/king_reynoldss	Yes					
mrreillycooper					http://pbs.twimg.com/profile_images/523298988028882944/H8yrRwZy_normal.jpeg					"mrreillycooper

@ZachBraff, please release it sooooooooooner!
I beg of you!!! :D - Wish I Was
Here - https://t.co/vCwStkrtB4
#iTunes"																			71	492	9269	3945	0	"If I can't scuba, then what's this all been about? What am I working toward? Developer for Deadly Octopus!"	London	http://t.co/qI5OtejG2o	London	41399.94045	Open Twitter Page for This Person	https://twitter.com/mrreillycooper	Yes					
zachbraff					http://pbs.twimg.com/profile_images/527294293338103808/MKNztV82_normal.jpeg					"zachbraff

"																			129	1466460	8427	3771	-25200	"Twitter friend to over 1,460,000 of the sexiest mofos on Earth. I block people quicker than I should. As a teen I sometimes dry-humped pillows."		http://t.co/SY8dNqQak1	Pacific Time (US & Canada)	40080.7399	Open Twitter Page for This Person	https://twitter.com/zachbraff	No					
